episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
162,596.5648,600,1,1,443,0
163,758.1263,600,1,1,443,0
164,315.5081,600,1,1,443,0
165,826.4312,600,1,1,443,0
166,275.1002,600,1,1,443,0
167,175.7279,600,1,1,443,0
168,315.4938,600,1,1,443,0
169,343.5089,600,1,1,443,0
170,464.9848,600,1,1,443,0
171,516.5234,600,1,1,443,0
172,789.1050,600,1,1,443,0
173,11.2127,600,0,0,443,24
174,25.3364,600,1,1,443,0
175,167.9580,600,1,1,443,0
176,896.8566,600,1,1,443,0
177,875.0876,600,1,1,443,0
178,347.2882,600,1,1,443,0
179,384.1725,600,1,1,443,0
180,463.1883,600,1,1,443,0
181,836.6723,600,1,1,443,0
182,11.7899,600,0,0,443,11
183,724.5663,600,1,1,443,0
184,11.0927,600,0,1,443,19
185,518.2154,600,1,1,443,0
186,271.4394,600,1,1,443,0
187,10.4013,600,0,0,443,5
188,10.2924,600,0,0,443,35
189,152.0040,600,1,1,443,0
190,723.1850,600,1,1,443,0
191,10.4081,600,0,1,443,45
192,10.7750,600,0,1,443,4
193,323.7982,600,1,1,443,0
194,35.5274,600,1,1,443,0
195,651.7219,600,1,1,443,0
196,716.2160,600,1,1,443,0
197,556.2892,600,1,1,443,0
198,102.0212,600,1,1,443,0
199,801.6420,600,1,1,443,0
