episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,571.4195,600,1,1,580,0
1,9.0993,600,0,0,580,13
2,11.8855,600,0,0,580,19
3,191.7560,600,1,1,580,0
4,11.7757,600,0,1,580,30
5,268.4590,600,1,1,580,0
6,255.2106,600,1,1,580,0
7,785.4276,600,1,1,580,0
8,10.7998,600,0,0,580,34
9,794.6969,600,1,1,580,0
10,460.6772,600,1,1,580,0
11,565.7384,600,1,1,580,0
12,549.3422,600,1,1,580,0
13,13.2808,600,0,1,580,21
14,711.8031,600,1,1,580,0
15,920.4312,600,1,1,580,0
16,11.8845,600,0,0,580,4
17,10.2251,600,0,0,580,2
18,120.0358,600,1,1,580,0
19,491.0382,600,1,1,580,0
20,10.5063,600,0,0,580,11
21,10.8212,600,0,0,580,23
22,837.6649,600,1,1,580,0
23,867.0894,600,1,1,580,0
24,12.0751,600,0,0,580,25
25,159.3617,600,1,1,580,0
26,392.9621,600,1,1,580,0
27,647.4201,600,1,1,580,0
28,80.7838,600,1,1,580,0
29,682.3697,600,1,1,580,0
30,568.9550,600,1,1,580,0
31,13.2601,600,0,0,580,7
32,19.1921,600,1,1,580,0
33,218.8986,600,1,1,580,0
34,850.2807,600,1,1,580,0
35,13.4370,600,0,0,580,8
36,15.3271,600,0,1,580,0
37,738.5559,600,1,1,580,0
38,19.8288,600,1,1,580,0
39,147.5820,600,1,1,580,0
40,309.7751,600,1,1,580,0
41,736.4698,600,1,1,580,0
42,744.3644,600,1,1,580,0
43,412.3909,600,1,1,580,0
44,88.8905,600,1,1,580,0
45,12.7041,600,0,0,580,9
46,604.5977,600,1,1,580,0
47,847.7423,600,1,1,580,0
48,691.5963,600,1,1,580,0
49,127.1841,600,1,1,580,0
50,854.6565,600,1,1,580,0
51,483.3685,600,1,1,580,0
52,386.1200,600,1,1,580,0
53,392.1063,600,1,1,580,0
54,869.9301,600,1,1,580,0
55,257.4364,600,1,1,580,0
56,14.1506,600,0,0,580,7
57,737.7641,600,1,1,580,0
58,231.6669,600,1,1,580,0
59,338.8544,600,1,1,580,0
60,14.2709,600,0,0,580,1
61,500.8645,600,1,1,580,0
62,849.7365,600,1,1,580,0
63,422.3011,600,1,1,580,0
64,299.0646,600,1,1,580,0
65,754.6513,600,1,1,580,0
66,75.8079,600,1,1,580,0
67,151.4891,600,1,1,580,0
68,13.3062,600,0,0,580,12
69,485.2687,600,1,1,580,0
70,23.8509,600,1,1,580,0
71,841.4446,600,1,1,580,0
72,13.9551,600,0,0,580,4
73,165.4079,600,1,1,580,0
74,786.8707,600,1,1,580,0
75,20.5721,600,1,1,580,0
76,756.2106,600,1,1,580,0
77,823.9805,600,1,1,580,0
78,127.8576,600,1,1,580,0
79,925.2617,600,1,1,580,0
80,837.4181,600,1,1,580,0
81,109.9404,600,1,1,580,0
82,89.8987,600,1,1,580,0
83,225.3909,600,1,1,580,0
84,456.7689,600,1,1,580,0
85,215.7944,600,1,1,580,0
86,169.4802,600,1,1,580,0
87,251.9431,600,1,1,580,0
88,460.0279,600,1,1,580,0
89,725.6251,600,1,1,580,0
90,862.8669,600,1,1,580,0
91,883.1507,600,1,1,580,0
92,315.4372,600,1,1,580,0
93,289.2040,600,1,1,580,0
94,425.0737,600,1,1,580,0
95,344.1493,600,1,1,580,0
96,756.1475,600,1,1,580,0
97,252.9765,600,1,1,580,0
98,328.0834,600,1,1,580,0
99,837.2573,600,1,1,580,0
100,558.8691,600,1,1,452,0
101,472.6770,600,1,1,452,0
102,381.6502,600,1,1,452,0
103,104.5786,600,1,1,452,0
104,13.5146,600,0,1,452,19
105,11.4108,600,0,0,452,18
106,795.2703,600,1,1,452,0
107,778.5765,600,1,1,452,0
108,351.8900,600,1,1,452,0
109,314.7159,600,1,1,452,0
110,543.4861,600,1,1,452,0
111,828.1737,600,1,1,452,0
112,733.4205,600,1,1,452,0
113,269.7855,600,1,1,452,0
114,126.5338,600,1,1,452,0
115,836.7320,600,1,1,452,0
116,851.4477,600,1,1,452,0
117,224.0092,600,1,1,452,0
118,384.0171,600,1,1,452,0
119,887.1599,600,1,1,452,0
120,319.3350,600,1,1,452,0
121,778.6703,600,1,1,452,0
122,684.9098,600,1,1,452,0
123,842.7858,600,1,1,452,0
124,813.7931,600,1,1,452,0
125,813.3315,600,1,1,452,0
126,552.4921,600,1,1,452,0
127,337.4950,600,1,1,452,0
128,142.6046,600,1,1,452,0
129,141.2504,600,1,1,452,0
130,457.5893,600,1,1,452,0
131,842.3934,600,1,1,452,0
132,270.1557,600,1,1,452,0
133,40.9252,600,1,1,452,0
134,793.2260,600,1,1,452,0
135,103.0839,600,1,1,452,0
136,59.5600,600,1,1,452,0
137,365.0844,600,1,1,452,0
138,39.0974,600,1,1,452,0
139,273.4212,600,1,1,452,0
140,778.5361,600,1,1,452,0
141,135.2012,600,1,1,452,0
142,863.9052,600,1,1,452,0
143,10.8604,600,0,0,452,32
144,838.3677,600,1,1,452,0
145,110.0357,600,1,1,452,0
146,92.2176,600,1,1,452,0
147,839.6243,600,1,1,452,0
148,14.0613,600,0,1,452,8
149,549.0009,600,1,1,452,0
150,258.0918,600,1,1,452,0
151,766.5893,600,1,1,452,0
152,280.1104,600,1,1,452,0
153,736.9049,600,1,1,452,0
154,854.3662,600,1,1,452,0
155,262.8629,600,1,1,452,0
156,725.1543,600,1,1,452,0
157,899.8729,600,1,1,452,0
158,898.6981,600,1,1,452,0
159,158.7860,600,1,1,452,0
160,566.8199,600,1,1,452,0
161,381.4329,600,1,1,452,0
162,483.9343,600,1,1,452,0
163,13.1603,600,0,0,452,6
164,190.3721,600,1,1,452,0
165,388.5449,600,1,1,452,0
166,790.4343,600,1,1,452,0
167,763.6242,600,1,1,452,0
168,744.4300,600,1,1,452,0
169,82.6446,600,1,1,452,0
170,808.5173,600,1,1,452,0
171,616.8241,600,1,1,452,0
172,86.0005,600,1,1,452,0
173,195.0292,600,1,1,452,0
174,73.2593,600,1,1,452,0
175,14.6032,600,0,0,452,1
176,915.8934,600,1,1,452,0
177,311.2065,600,1,1,452,0
178,550.2698,600,1,1,452,0
179,917.6263,600,1,1,452,0
180,76.1300,600,1,1,452,0
181,778.9043,600,1,1,452,0
182,120.1124,600,1,1,452,0
183,430.8229,600,1,1,452,0
184,14.0888,600,0,1,452,7
185,270.6505,600,1,1,452,0
186,813.1786,600,1,1,452,0
187,224.7443,600,1,1,452,0
188,286.8668,600,1,1,452,0
189,772.6943,600,1,1,452,0
190,234.6761,600,1,1,452,0
191,221.0290,600,1,1,452,0
192,812.6400,600,1,1,452,0
193,252.5368,600,1,1,452,0
194,761.2776,600,1,1,452,0
195,315.8249,600,1,1,452,0
196,250.4035,600,1,1,452,0
197,884.6866,600,1,1,452,0
198,836.2322,600,1,1,452,0
199,632.7888,600,1,1,452,0
