episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,656.6625,600,1,1,558,0
1,603.5378,600,1,1,558,0
2,12.9311,600,0,0,558,11
3,318.3297,600,1,1,558,0
4,7.8610,600,0,0,558,24
5,812.6643,600,1,1,558,0
6,11.0034,600,0,0,558,4
7,9.6562,600,0,1,558,14
8,212.8525,600,1,1,558,0
9,13.3061,600,0,0,558,5
10,124.4176,600,1,1,558,0
11,435.8451,600,1,1,558,0
12,346.9183,600,1,1,558,0
13,226.1982,600,1,1,558,0
14,358.7760,600,1,1,558,0
15,269.7788,600,1,1,558,0
16,246.9430,600,1,1,558,0
17,455.6077,600,1,1,558,0
18,712.5145,600,1,1,558,0
19,821.2801,600,1,1,558,0
20,148.4169,600,1,1,558,0
21,446.0245,600,1,1,558,0
22,156.0550,600,1,1,558,0
23,157.3352,600,1,1,558,0
24,212.0183,600,1,1,558,0
25,123.4248,600,1,1,558,0
26,851.9224,600,1,1,558,0
27,830.9614,600,1,1,558,0
28,532.9279,600,1,1,558,0
29,111.7007,600,1,1,558,0
30,491.1002,600,1,1,558,0
31,159.0976,600,1,1,558,0
32,193.0170,600,1,1,558,0
33,9.4229,600,0,0,558,24
34,846.5046,600,1,1,558,0
35,541.5725,600,1,1,558,0
36,423.0872,600,1,1,558,0
37,174.0667,600,1,1,558,0
38,13.7569,600,0,1,558,8
39,235.8290,600,1,1,558,0
40,820.2946,600,1,1,558,0
41,595.1709,600,1,1,558,0
42,300.4592,600,1,1,558,0
43,354.7980,600,1,1,558,0
44,175.7240,600,1,1,558,0
45,368.3918,600,1,1,558,0
46,49.7721,600,1,1,558,0
47,919.0215,600,1,1,558,0
48,243.6959,600,1,1,558,0
49,259.0157,600,1,1,558,0
50,98.1083,600,1,1,558,0
51,657.5103,600,1,1,558,0
52,560.1237,600,1,1,558,0
53,64.3223,600,1,1,558,0
54,793.1741,600,1,1,558,0
55,876.0105,600,1,1,558,0
56,727.2969,600,1,1,558,0
57,331.9654,600,1,1,558,0
58,720.9719,600,1,1,558,0
59,404.6998,600,1,1,558,0
60,166.5005,600,1,1,558,0
61,376.1835,600,1,1,558,0
62,775.9558,600,1,1,558,0
63,609.0230,600,1,1,558,0
64,898.4370,600,1,1,558,0
65,291.8234,600,1,1,558,0
66,532.9904,600,1,1,558,0
67,637.0716,600,1,1,558,0
68,368.1231,600,1,1,558,0
69,867.6783,600,1,1,558,0
70,774.2053,600,1,1,558,0
71,464.9280,600,1,1,558,0
72,733.1452,600,1,1,558,0
73,799.8636,600,1,1,558,0
74,621.1747,600,1,1,558,0
75,906.3881,600,1,1,558,0
76,873.3123,600,1,1,558,0
77,304.9131,600,1,1,558,0
78,796.9264,600,1,1,558,0
79,220.7269,600,1,1,558,0
80,165.9258,600,1,1,558,0
81,85.4596,600,1,1,558,0
82,818.5943,600,1,1,558,0
83,15.0365,600,0,1,558,1
84,840.0976,600,1,1,558,0
85,144.9466,600,1,1,558,0
86,545.1760,600,1,1,558,0
87,96.6771,600,1,1,558,0
88,431.0002,600,1,1,558,0
89,175.2288,600,1,1,558,0
90,622.5345,600,1,1,558,0
91,653.6938,600,1,1,558,0
92,136.5233,600,1,1,558,0
93,131.1357,600,1,1,558,0
94,893.8336,600,1,1,558,0
95,223.4156,600,1,1,558,0
96,388.7246,600,1,1,558,0
97,13.7605,600,0,0,558,5
98,259.0540,600,1,1,558,0
99,191.5300,600,1,1,558,0
100,729.6889,600,1,1,456,0
101,342.4125,600,1,1,456,0
102,269.8957,600,1,1,456,0
103,212.9257,600,1,1,456,0
104,736.0429,600,1,1,456,0
105,686.2048,600,1,1,456,0
106,149.7782,600,1,1,456,0
107,168.5829,600,1,1,456,0
108,253.8723,600,1,1,456,0
109,876.8099,600,1,1,456,0
110,384.7605,600,1,1,456,0
111,214.7832,600,1,1,456,0
112,284.5369,600,1,1,456,0
113,712.8779,600,1,1,456,0
114,13.1855,600,0,1,456,26
115,398.1282,600,1,1,456,0
116,648.2348,600,1,1,456,0
117,178.1147,600,1,1,456,0
118,847.3049,600,1,1,456,0
119,452.2045,600,1,1,456,0
120,244.9080,600,1,1,456,0
121,239.8828,600,1,1,456,0
122,584.9680,600,1,1,456,0
123,653.7019,600,1,1,456,0
124,297.2429,600,1,1,456,0
125,276.4059,600,1,1,456,0
126,810.8806,600,1,1,456,0
127,375.1744,600,1,1,456,0
128,231.3970,600,1,1,456,0
129,129.7929,600,1,1,456,0
130,597.2014,600,1,1,456,0
131,611.0627,600,1,1,456,0
132,181.7604,600,1,1,456,0
133,382.0235,600,1,1,456,0
134,245.9088,600,1,1,456,0
135,666.6921,600,1,1,456,0
136,51.0795,600,1,1,456,0
137,449.4497,600,1,1,456,0
138,736.0655,600,1,1,456,0
139,198.3970,600,1,1,456,0
140,793.2366,600,1,1,456,0
141,231.5464,600,1,1,456,0
142,533.1978,600,1,1,456,0
143,257.5973,600,1,1,456,0
144,372.3035,600,1,1,456,0
145,250.3966,600,1,1,456,0
146,593.4200,600,1,1,456,0
147,27.2414,600,1,1,456,0
148,543.6313,600,1,1,456,0
149,250.9512,600,1,1,456,0
150,645.9089,600,1,1,456,0
151,98.4245,600,1,1,456,0
152,510.9747,600,1,1,456,0
153,602.9386,600,1,1,456,0
154,278.3759,600,1,1,456,0
155,677.1553,600,1,1,456,0
156,306.2233,600,1,1,456,0
157,412.9078,600,1,1,456,0
158,510.8528,600,1,1,456,0
159,14.1923,600,0,1,456,7
160,120.3018,600,1,1,456,0
161,766.9643,600,1,1,456,0
162,463.7203,600,1,1,456,0
163,497.5792,600,1,1,456,0
164,280.3685,600,1,1,456,0
165,186.6012,600,1,1,456,0
166,521.0735,600,1,1,456,0
167,587.8185,600,1,1,456,0
168,565.4126,600,1,1,456,0
169,431.3957,600,1,1,456,0
170,799.0033,600,1,1,456,0
171,317.5222,600,1,1,456,0
172,376.7697,600,1,1,456,0
173,769.3842,600,1,1,456,0
174,478.6700,600,1,1,456,0
175,865.8147,600,1,1,456,0
176,51.5145,600,1,1,456,0
177,417.6449,600,1,1,456,0
178,937.5059,600,1,1,456,0
179,188.5643,600,1,1,456,0
180,133.5230,600,1,1,456,0
181,651.2929,600,1,1,456,0
182,769.5857,600,1,1,456,0
183,928.0274,600,1,1,456,0
184,359.1642,600,1,1,456,0
185,239.1117,600,1,1,456,0
186,380.6094,600,1,1,456,0
187,402.8806,600,1,1,456,0
188,161.4857,600,1,1,456,0
189,823.7712,600,1,1,456,0
190,787.2626,600,1,1,456,0
191,733.9642,600,1,1,456,0
192,842.2528,600,1,1,456,0
193,153.3429,600,1,1,456,0
194,373.8118,600,1,1,456,0
195,398.1743,600,1,1,456,0
196,150.7408,600,1,1,456,0
197,286.7954,600,1,1,456,0
198,845.5664,600,1,1,456,0
199,31.4715,600,1,1,456,0
