episode,total_reward,episode_length,success,alpha,actor_loss,critic_loss,dry_mass,fuel_mass_init,self_fuel_end,phase_switched
0,8.8899,116,0,0.1000,0.0000,0.0000,533,32,0.8389,0
1,528.8344,400,1,0.1000,-2.7958,0.3469,533,0,0.2262,1
2,478.3832,400,1,0.1000,-5.6080,0.2626,533,0,0.0611,1
3,424.6737,400,1,0.1000,-8.9298,0.4950,533,0,0.0506,1
4,470.0504,400,1,0.1000,-12.6461,0.7488,533,0,0.0468,1
5,553.0136,400,1,0.1000,-16.5807,1.5346,533,0,0.0427,1
6,347.0759,400,1,0.1000,-20.0814,2.2452,533,0,0.0384,1
7,551.3499,400,1,0.1000,-23.7812,3.1580,533,0,0.0309,1
8,6.1237,97,0,0.1000,-26.1288,4.9089,533,24,0.7664,0
9,558.2493,400,1,0.1000,-27.6729,5.4157,533,0,0.0317,1
10,329.7182,400,1,0.1000,-30.6250,6.3241,533,0,0.0331,1
11,496.1391,400,1,0.1000,-34.3899,7.9130,533,0,0.0346,1
12,532.6533,400,1,0.1000,-38.3514,8.7979,533,0,0.0303,1
13,570.5384,400,1,0.1000,-41.8791,10.1078,533,0,0.0467,1
14,602.7990,400,1,0.1000,-45.3335,14.5045,533,0,0.0330,1
15,563.1749,400,1,0.1000,-48.1233,15.7359,533,0,0.0365,1
16,594.8006,400,1,0.1000,-51.5854,18.0085,533,0,0.0318,1
17,464.6043,400,1,0.1000,-55.9544,22.1154,533,0,0.0325,1
18,512.6003,400,1,0.1000,-61.2865,23.3190,533,0,0.0368,1
19,401.7960,400,1,0.1000,-64.2928,24.7543,533,0,0.0327,1
20,492.2206,400,1,0.1000,-66.5730,26.0822,533,0,0.0342,1
21,353.4000,400,1,0.1000,-69.6484,26.1482,533,0,0.0333,1
22,160.4667,400,1,0.1000,-71.0535,29.8140,533,0,0.0414,1
23,461.6451,400,1,0.1000,-72.9367,30.0116,533,0,0.0332,1
24,547.1301,400,1,0.1000,-75.7409,34.4049,533,0,0.0336,1
25,578.5562,400,1,0.1000,-77.5614,33.6409,533,0,0.0341,1
26,516.5736,400,1,0.1000,-79.9366,39.3438,533,0,0.0308,1
27,509.7765,400,1,0.1000,-82.4761,41.1461,533,0,0.0343,1
28,598.4469,400,1,0.1000,-85.1540,49.4598,533,0,0.0342,1
29,473.5114,400,1,0.1000,-87.9514,45.2383,533,0,0.0345,1
30,537.9254,400,1,0.1000,-89.7330,54.2495,533,0,0.0398,1
31,480.6671,400,1,0.1000,-91.7776,61.7999,533,0,0.0349,1
32,435.0122,400,1,0.1000,-94.7607,49.1249,533,0,0.0354,1
33,521.5527,400,1,0.1000,-97.8164,54.5366,533,0,0.0338,1
34,427.4584,400,1,0.1000,-99.4129,60.5548,533,0,0.0412,1
35,589.6443,400,1,0.1000,-101.1360,57.7604,533,0,0.0341,1
36,509.8634,400,1,0.1000,-103.1574,67.4342,533,0,0.0325,1
37,552.8499,400,1,0.1000,-105.0386,64.1168,533,0,0.0335,1
38,418.7912,400,1,0.1000,-106.8353,77.8328,533,0,0.0327,1
39,495.1902,400,1,0.1000,-108.8389,67.3687,533,0,0.0334,1
40,465.3594,400,1,0.1000,-110.0786,56.2027,533,0,0.0406,1
41,491.2117,400,1,0.1000,-111.2366,66.3960,533,0,0.0316,1
42,525.9669,400,1,0.1000,-112.9437,58.5466,533,0,0.0339,1
43,485.8434,400,1,0.1000,-114.3501,72.7217,533,0,0.0438,1
44,7.5681,103,0,0.1000,-115.2498,53.4981,533,50,0.7523,0
45,593.6259,400,1,0.1000,-116.0378,61.1078,533,0,0.0317,1
46,581.6771,400,1,0.1000,-117.8088,77.3172,533,0,0.0345,1
47,569.2278,400,1,0.1000,-119.3966,66.2208,533,0,0.0328,1
48,468.2107,400,1,0.1000,-120.9076,70.0410,533,0,0.0341,1
49,539.7963,400,1,0.1000,-122.3361,71.1558,533,0,0.0323,1
50,461.4844,400,1,0.1000,-123.7147,76.5376,533,0,0.0336,1
51,605.8611,400,1,0.1000,-125.5987,72.9472,533,0,0.0401,1
52,548.4244,400,1,0.1000,-126.5802,66.5099,533,0,0.0343,1
53,599.6081,400,1,0.1000,-127.5799,71.2552,533,0,0.0309,1
54,364.3960,400,1,0.1000,-128.5428,67.8373,533,0,0.0349,1
55,466.9382,400,1,0.1000,-129.1292,78.3472,533,0,0.0366,1
56,396.1420,400,1,0.1000,-129.7013,64.2129,533,0,0.0470,1
57,445.8769,400,1,0.1000,-130.5455,72.8881,533,0,0.0362,1
58,544.0345,400,1,0.1000,-131.6263,74.5312,533,0,0.0318,1
59,560.4791,400,1,0.1000,-132.7392,71.6443,533,0,0.0322,1
60,558.3221,400,1,0.1000,-133.7685,80.6446,533,0,0.0387,1
61,489.2222,400,1,0.1000,-134.2828,58.5601,533,0,0.0346,1
62,11.7573,400,0,0.1000,-134.7184,63.9706,533,2,0.0378,0
63,595.0604,400,1,0.1000,-135.0962,62.9310,533,0,0.0410,1
64,497.1746,400,1,0.1000,-136.0834,61.7687,533,0,0.0352,1
65,425.8773,400,1,0.1000,-136.3743,66.6988,533,0,0.0383,1
66,485.1977,400,1,0.1000,-137.3593,65.6979,533,0,0.0348,1
67,475.2774,400,1,0.1000,-137.8467,47.0754,533,0,0.0328,1
