episode,total_reward,episode_length,success,alpha,actor_loss,critic_loss,dry_mass,est_mass,fuel_mass_init,phase_switched
413,808.2347,600,1,0.2000,-148.5618,30.8970,496,496,0,1
414,715.9337,600,1,0.2000,-149.3992,33.2135,496,496,0,1
415,973.0321,600,1,0.2000,-149.3276,35.2382,496,496,0,1
416,396.2235,600,1,0.2000,-149.3360,37.5285,496,496,0,1
417,936.8682,600,1,0.2000,-149.0776,37.6242,496,496,0,1
418,415.5147,600,1,0.2000,-148.9402,34.9395,496,496,0,1
419,552.6724,600,1,0.2000,-149.3769,33.0609,496,496,0,1
420,9.5104,600,0,0.2000,-149.5590,37.5433,496,579,83,0
421,160.5142,600,1,0.2000,-150.0049,31.2535,496,496,0,1
422,9.3952,600,0,0.2000,-150.5335,34.0780,496,533,37,0
423,1006.4318,600,1,0.2000,-150.5124,30.8207,496,496,0,1
424,266.3572,600,1,0.2000,-150.7841,27.3033,496,496,0,1
425,11.3506,600,0,0.2000,-150.9722,27.7456,496,569,73,1
426,635.6319,600,1,0.2000,-151.1247,30.3313,496,496,0,1
427,565.8657,600,1,0.2000,-151.0217,26.5830,496,496,0,1
428,13.6397,600,0,0.2000,-150.8605,25.9865,496,546,50,0
429,371.6652,600,1,0.2000,-150.6571,23.7353,496,496,0,1
430,937.1377,600,1,0.2000,-150.8287,23.4395,496,497,0,1
431,788.5293,600,1,0.2000,-150.3608,28.0025,496,496,0,1
432,164.2519,600,1,0.2000,-150.4468,24.3719,496,496,0,1
433,1022.0618,600,1,0.2000,-150.5210,24.6636,496,496,0,1
434,16.0090,600,0,0.2000,-150.4822,23.8171,496,510,14,0
435,289.3586,600,1,0.2000,-150.1936,21.5230,496,496,0,1
436,477.8714,600,1,0.2000,-150.1754,20.6979,496,496,0,1
437,400.1927,600,1,0.2000,-150.1634,17.6901,496,496,0,1
438,16.6347,600,0,0.2000,-150.4634,17.4348,496,502,6,0
439,661.6255,600,1,0.2000,-150.8293,18.0359,496,496,0,1
440,890.9354,600,1,0.2000,-150.9381,17.5757,496,496,0,1
441,797.0969,600,1,0.2000,-150.6692,18.0591,496,496,0,1
442,659.5906,600,1,0.2000,-150.8180,15.6754,496,496,0,1
443,531.4059,600,1,0.2000,-150.9627,16.9688,496,496,0,1
444,484.4124,600,1,0.2000,-150.9438,16.4175,496,496,0,1
445,433.5913,600,1,0.2000,-151.6288,15.2122,496,496,0,1
446,289.5227,600,1,0.2000,-152.0365,15.2975,496,496,0,1
447,520.4469,600,1,0.2000,-151.5772,14.4830,496,496,0,1
448,12.9140,600,0,0.2000,-151.3849,13.6548,496,562,67,1
449,599.3701,600,1,0.2000,-151.6596,15.7806,496,496,0,1
450,240.2417,600,1,0.2000,-152.0671,15.3797,496,496,0,1
451,775.4211,600,1,0.2000,-152.3264,13.3821,496,496,0,1
452,15.2313,600,0,0.2000,-152.2258,12.4354,496,527,32,0
453,100.1497,600,1,0.2000,-151.9448,12.8712,496,496,0,1
454,198.2089,600,1,0.2000,-151.8654,12.9994,496,496,0,1
455,798.2000,600,1,0.2000,-151.2002,11.9778,496,496,0,1
456,169.4814,600,1,0.2000,-151.2756,11.1703,496,496,0,1
457,338.7926,600,1,0.2000,-151.1664,10.7197,496,496,0,1
458,580.3988,600,1,0.2000,-151.1359,11.0466,496,496,0,1
459,292.7452,600,1,0.2000,-151.4232,10.9413,496,496,0,1
460,14.8403,600,0,0.2000,-151.5309,11.8471,496,521,25,0
461,329.5268,600,1,0.2000,-151.6518,11.1884,496,496,0,1
462,906.9058,600,1,0.2000,-151.8821,11.6074,496,496,0,1
463,507.6470,600,1,0.2000,-152.1804,10.0271,496,496,0,1
464,464.1709,600,1,0.2000,-152.6233,10.8145,496,496,0,1
465,892.6095,600,1,0.2000,-153.3450,10.6328,496,497,0,1
466,804.4381,600,1,0.2000,-153.5656,10.8327,496,496,0,1
467,794.0572,600,1,0.2000,-153.8710,12.1484,496,496,0,1
468,840.0793,600,1,0.2000,-153.9022,11.6088,496,496,0,1
469,113.5543,600,1,0.2000,-154.4653,11.7112,496,496,0,1
470,504.5226,600,1,0.2000,-154.0244,10.4026,496,496,0,1
471,40.4262,600,1,0.2000,-154.3633,10.6534,496,496,0,1
472,858.6318,600,1,0.2000,-154.6863,11.5913,496,496,0,1
473,714.1698,600,1,0.2000,-154.7492,11.3754,496,496,0,1
474,13.7391,600,0,0.2000,-154.8606,13.3746,496,542,46,1
475,979.8754,600,1,0.2000,-154.9306,11.8696,496,496,0,1
476,795.6318,600,1,0.2000,-155.2693,13.3739,496,496,0,1
477,671.1555,600,1,0.2000,-155.8582,11.5102,496,496,0,1
478,833.2597,600,1,0.2000,-156.8523,10.7515,496,496,0,1
479,463.6662,600,1,0.2000,-156.9187,11.6647,496,496,0,1
480,16.7127,600,0,0.2000,-156.4947,14.1201,496,523,27,0
481,12.9871,600,0,0.2000,-156.5000,13.7343,496,534,38,1
482,351.1157,600,1,0.2000,-156.6318,9.9146,496,496,0,1
483,12.2327,600,0,0.2000,-156.5137,12.9832,496,560,64,0
484,12.7640,600,0,0.2000,-156.6749,10.4571,496,564,68,0
485,10.4373,600,0,0.2000,-156.9173,11.8316,496,564,68,0
486,11.6762,600,0,0.2000,-156.6244,14.9116,496,547,51,0
487,667.1440,600,1,0.2000,-156.4801,13.2833,496,496,0,1
488,780.5497,600,1,0.2000,-156.9031,11.3805,496,496,0,1
489,409.9233,600,1,0.2000,-156.9514,13.5734,496,496,0,1
490,12.6829,600,0,0.2000,-157.2493,11.1303,496,531,36,1
491,58.6414,600,1,0.2000,-157.3482,12.7226,496,496,0,1
492,13.3957,600,0,0.2000,-157.1102,14.2007,496,511,15,1
493,919.3752,600,1,0.2000,-157.6679,11.4936,496,496,0,1
494,596.0821,600,1,0.2000,-157.8740,12.5705,496,496,0,1
495,991.9219,600,1,0.2000,-157.6974,15.9092,496,496,0,1
496,912.5880,600,1,0.2000,-157.8889,12.0698,496,496,0,1
497,250.6431,600,1,0.2000,-158.0165,15.4406,496,496,0,1
498,1039.8282,600,1,0.2000,-158.2025,13.3708,496,496,0,1
499,12.0984,600,0,0.2000,-158.7565,14.2211,496,506,10,0
