episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,12.5164,600,0,1,473,5
1,819.9730,600,1,1,473,0
2,653.6320,600,1,1,473,0
3,10.5383,600,0,0,473,7
4,130.5466,600,1,1,473,0
5,137.3634,600,1,1,473,0
6,12.7780,600,0,0,473,15
7,13.1916,600,0,1,473,24
8,500.3769,600,1,1,473,0
9,911.2134,600,1,1,473,0
10,845.6558,600,1,1,473,0
11,172.1869,600,1,1,473,0
12,843.7274,600,1,1,473,0
13,779.3310,600,1,1,473,0
14,37.7020,600,1,1,473,0
15,836.6901,600,1,1,473,0
16,186.3841,600,1,1,473,0
17,447.9063,600,1,1,473,0
18,738.0192,600,1,1,473,0
19,712.5882,600,1,1,473,0
20,464.5511,600,1,1,473,0
21,13.5911,600,0,1,473,3
22,897.6415,600,1,1,473,0
23,13.6011,600,0,0,473,11
24,788.3117,600,1,1,473,0
25,843.4110,600,1,1,473,0
26,13.9258,600,0,1,473,13
27,632.0809,600,1,1,473,0
28,13.1521,600,0,1,473,21
29,378.6852,600,1,1,473,0
30,222.2661,600,1,1,473,0
31,13.4320,600,0,0,473,8
32,220.1926,600,1,1,473,0
33,255.0812,600,1,1,473,0
34,679.3681,600,1,1,473,0
35,586.7759,600,1,1,473,0
36,438.8990,600,1,1,473,0
37,933.2192,600,1,1,473,0
38,172.7428,600,1,1,473,0
39,377.6170,600,1,1,473,0
40,102.6493,600,1,1,473,0
41,75.2558,600,1,1,473,0
42,327.7671,600,1,1,473,0
43,479.6155,600,1,1,473,0
44,751.5600,600,1,1,473,0
45,53.8901,600,1,1,473,0
46,705.1132,600,1,1,473,0
47,624.8657,600,1,1,473,0
48,378.4832,600,1,1,473,0
49,27.5289,600,1,1,473,0
50,148.9932,600,1,1,473,0
51,75.1516,600,1,1,473,0
52,59.3448,600,1,1,473,0
53,929.2755,600,1,1,473,0
54,60.3251,600,1,1,473,0
55,340.3856,600,1,1,473,0
56,13.8271,600,0,1,473,12
57,653.9791,600,1,1,473,0
58,329.4084,600,1,1,473,0
59,448.1824,600,1,1,473,0
60,443.0680,600,1,1,473,0
61,779.7552,600,1,1,473,0
62,718.2186,600,1,1,473,0
63,400.2111,600,1,1,473,0
64,681.9854,600,1,1,473,0
65,794.9373,600,1,1,473,0
66,302.4712,600,1,1,473,0
67,189.2220,600,1,1,473,0
68,39.0882,600,1,1,473,0
69,13.4852,600,0,1,473,0
70,508.5535,600,1,1,473,0
71,13.5925,600,0,0,473,5
72,200.0544,600,1,1,473,0
73,54.1897,600,1,1,473,0
74,898.8129,600,1,1,473,0
75,717.7968,600,1,1,473,0
76,439.7570,600,1,1,473,0
77,14.2371,600,0,1,473,11
78,718.9871,600,1,1,473,0
79,575.2309,600,1,1,473,0
80,451.2052,600,1,1,473,0
81,790.6203,600,1,1,473,0
82,32.2280,600,1,1,473,0
83,589.4590,600,1,1,473,0
84,332.1194,600,1,1,473,0
85,250.3554,600,1,1,473,0
86,412.6731,600,1,1,473,0
87,576.9961,600,1,1,473,0
88,295.1807,600,1,1,473,0
89,357.3141,600,1,1,473,0
