episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,3.4417,600,0,1,481,102
1,12.0335,600,0,0,481,9
2,897.9830,600,1,1,481,0
3,836.9174,600,1,1,481,0
4,867.1181,600,1,1,481,0
5,823.5403,600,1,1,481,0
6,915.8420,600,1,1,481,0
7,802.2710,600,1,1,481,0
8,680.4350,600,1,1,481,0
9,241.4055,600,1,1,481,0
10,702.2787,600,1,1,481,0
11,811.0515,600,1,1,481,0
12,678.7548,600,1,1,481,0
13,232.6924,600,1,1,481,0
14,82.7925,600,1,1,481,0
15,160.3553,600,1,1,481,0
16,713.2584,600,1,1,481,0
17,277.2227,600,1,1,481,0
18,156.1038,600,1,1,481,0
19,411.2793,600,1,1,481,0
20,743.0275,600,1,1,481,0
21,335.9768,600,1,1,481,0
22,98.5329,600,1,1,481,0
23,865.6430,600,1,1,481,0
24,14.6464,600,0,0,481,0
25,836.1549,600,1,1,481,0
26,208.3008,600,1,1,481,0
27,382.9468,600,1,1,481,0
28,849.9142,600,1,1,481,0
29,805.9345,600,1,1,481,0
30,535.7400,600,1,1,481,0
31,72.1084,600,1,1,481,0
32,15.2681,600,0,1,481,4
33,365.9156,600,1,1,481,0
34,398.9731,600,1,1,481,0
35,548.3386,600,1,1,481,0
36,501.8616,600,1,1,481,0
37,747.6295,600,1,1,481,0
38,220.5609,600,1,1,481,0
39,907.1548,600,1,1,481,0
40,342.7764,600,1,1,481,0
41,545.0958,600,1,1,481,0
42,677.5366,600,1,1,481,0
43,641.3469,600,1,1,481,0
44,556.6906,600,1,1,481,0
45,833.7921,600,1,1,481,0
46,725.1777,600,1,1,481,0
47,294.5059,600,1,1,481,0
48,175.3544,600,1,1,481,0
49,820.0504,600,1,1,481,0
50,211.9762,600,1,1,481,0
51,216.2254,600,1,1,481,0
52,865.7284,600,1,1,481,0
53,412.9908,600,1,1,481,0
54,800.2426,600,1,1,481,0
55,429.3573,600,1,1,481,0
56,261.6542,600,1,1,481,0
57,401.1561,600,1,1,481,0
58,117.0371,600,1,1,481,0
59,910.9001,600,1,1,481,0
60,789.3567,600,1,1,481,0
61,732.8338,600,1,1,481,0
62,694.6650,600,1,1,481,0
63,647.3168,600,1,1,481,0
64,85.0235,600,1,1,481,0
65,820.4474,600,1,1,481,0
66,245.9223,600,1,1,481,0
67,297.4855,600,1,1,481,0
68,72.2463,600,1,1,481,0
69,12.6503,600,0,1,481,19
70,175.2192,600,1,1,481,0
71,911.8719,600,1,1,481,0
72,808.8434,600,1,1,481,0
