episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,946.0766,600,1,1,576,0
1,324.3490,600,1,1,576,0
2,603.6355,600,1,1,576,0
3,12.3885,600,0,0,576,16
4,680.9780,600,1,1,576,0
5,302.0858,600,1,1,576,0
6,236.4128,600,1,1,576,0
7,516.3160,600,1,1,576,0
8,751.4695,600,1,1,576,0
9,437.4504,600,1,1,576,0
10,160.7638,600,1,1,576,0
11,292.4885,600,1,1,576,0
12,797.3883,600,1,1,576,0
13,246.1234,600,1,1,576,0
14,853.5911,600,1,1,576,0
15,558.8296,600,1,1,576,0
16,315.0458,600,1,1,576,0
17,470.3502,600,1,1,576,0
18,794.0345,600,1,1,576,0
19,508.6748,600,1,1,576,0
20,287.5741,600,1,1,576,0
21,111.5435,600,1,1,576,0
22,288.6435,600,1,1,576,0
23,783.3251,600,1,1,576,0
24,838.0259,600,1,1,576,0
25,511.3163,600,1,1,576,0
26,805.4084,600,1,1,576,0
27,605.5253,600,1,1,576,0
28,692.7962,600,1,1,576,0
29,186.1184,600,1,1,576,0
30,634.3720,600,1,1,576,0
31,336.3594,600,1,1,576,0
32,522.4508,600,1,1,576,0
33,258.2119,600,1,1,576,0
34,708.2108,600,1,1,576,0
35,204.4276,600,1,1,576,0
36,773.5134,600,1,1,576,0
37,864.4003,600,1,1,576,0
38,650.0442,600,1,1,576,0
39,780.2199,600,1,1,576,0
40,753.2055,600,1,1,576,0
41,288.9206,600,1,1,576,0
42,771.6792,600,1,1,576,0
43,156.6856,600,1,1,576,0
44,693.9769,600,1,1,576,0
45,297.2095,600,1,1,576,0
46,171.3262,600,1,1,576,0
47,273.0134,600,1,1,576,0
48,216.4354,600,1,1,576,0
49,757.7307,600,1,1,576,0
50,697.8349,600,1,1,576,0
51,283.4609,600,1,1,576,0
52,763.8692,600,1,1,576,0
53,676.5859,600,1,1,576,0
54,649.0376,600,1,1,576,0
55,220.8990,600,1,1,576,0
56,291.3147,600,1,1,576,0
57,177.8395,600,1,1,576,0
58,678.6667,600,1,1,576,0
59,340.7068,600,1,1,576,0
60,691.6197,600,1,1,576,0
61,44.1828,600,1,1,576,0
62,468.5734,600,1,1,576,0
63,816.3316,600,1,1,576,0
64,420.7048,600,1,1,576,0
65,547.6853,600,1,1,576,0
66,725.1549,600,1,1,576,0
67,105.9533,600,1,1,576,0
68,470.7977,600,1,1,576,0
69,181.9256,600,1,1,576,0
70,126.3134,600,1,1,576,0
71,536.1493,600,1,1,576,0
72,733.3512,600,1,1,576,0
73,847.7645,600,1,1,576,0
74,264.7626,600,1,1,576,0
75,189.1943,600,1,1,576,0
76,809.5000,600,1,1,576,0
77,384.3593,600,1,1,576,0
78,705.3506,600,1,1,576,0
79,451.1729,600,1,1,576,0
80,360.3121,600,1,1,576,0
81,331.8339,600,1,1,576,0
82,591.9846,600,1,1,576,0
83,93.5722,600,1,1,576,0
84,35.6753,600,1,1,576,0
85,84.6506,600,1,1,576,0
86,187.3966,600,1,1,576,0
