episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,2.9931,600,0,1,408,97
1,3.4734,600,0,1,408,109
2,838.1370,600,1,1,408,0
3,12.6714,600,0,1,408,24
4,10.4702,600,0,0,408,9
5,261.6993,600,1,1,408,0
6,279.4181,600,1,1,408,0
7,488.8816,600,1,1,408,0
8,678.0861,600,1,1,408,0
9,9.8719,600,0,0,408,28
10,824.0061,600,1,1,408,0
11,10.9996,600,0,0,408,30
12,891.8334,600,1,1,408,0
13,874.7519,600,1,1,408,0
14,490.5864,600,1,1,408,0
15,862.2109,600,1,1,408,0
16,113.6405,600,1,1,408,0
17,844.0781,600,1,1,408,0
18,810.1519,600,1,1,408,0
19,534.1021,600,1,1,408,0
20,606.1097,600,1,1,408,0
21,153.0833,600,1,1,408,0
22,13.6649,600,0,0,408,9
23,63.2433,600,1,1,408,0
24,909.3423,600,1,1,408,0
25,808.2458,600,1,1,408,0
26,855.1210,600,1,1,408,0
27,563.1498,600,1,1,408,0
28,14.3865,600,0,1,408,7
29,208.5961,600,1,1,408,0
30,659.3131,600,1,1,408,0
31,11.9621,600,0,0,408,7
32,146.0786,600,1,1,408,0
33,888.2171,600,1,1,408,0
34,576.5180,600,1,1,408,0
35,527.1598,600,1,1,408,0
36,66.1891,600,1,1,408,0
37,889.4445,600,1,1,408,0
38,672.9581,600,1,1,408,0
39,593.3731,600,1,1,408,0
40,556.4030,600,1,1,408,0
41,693.0544,600,1,1,408,0
42,392.9286,600,1,1,408,0
43,347.3573,600,1,1,408,0
44,666.2302,600,1,1,408,0
45,265.0870,600,1,1,408,0
46,742.2054,600,1,1,408,0
47,219.0794,600,1,1,408,0
48,680.2604,600,1,1,408,0
49,454.4804,600,1,1,408,0
50,631.7721,600,1,1,408,0
51,101.9060,600,1,1,408,0
52,737.8536,600,1,1,408,0
53,712.9863,600,1,1,408,0
54,216.9740,600,1,1,408,0
55,299.7934,600,1,1,408,0
56,474.8998,600,1,1,408,0
57,795.5812,600,1,1,408,0
58,868.6192,600,1,1,408,0
59,13.6575,600,0,0,408,1
60,62.4855,600,1,1,408,0
61,406.3409,600,1,1,408,0
62,49.2850,600,1,1,408,0
