episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,600.4651,600,1,1,504,0
1,12.9705,600,0,0,504,3
2,538.2653,600,1,1,504,0
3,61.5273,600,1,1,504,0
4,922.4211,600,1,1,504,0
5,13.9299,600,0,0,504,9
6,490.9004,600,1,1,504,0
7,399.3159,600,1,1,504,0
8,467.3915,600,1,1,504,0
9,237.3458,600,1,1,504,0
10,772.1003,600,1,1,504,0
11,800.6659,600,1,1,504,0
12,154.9018,600,1,1,504,0
13,480.1233,600,1,1,504,0
14,620.6641,600,1,1,504,0
15,806.0635,600,1,1,504,0
16,237.5595,600,1,1,504,0
17,754.5988,600,1,1,504,0
18,329.9696,600,1,1,504,0
19,219.0224,600,1,1,504,0
20,320.4025,600,1,1,504,0
21,128.3561,600,1,1,504,0
22,921.9925,600,1,1,504,0
23,285.1491,600,1,1,504,0
24,837.3028,600,1,1,504,0
25,356.2186,600,1,1,504,0
26,271.6845,600,1,1,504,0
27,507.0482,600,1,1,504,0
28,762.0121,600,1,1,504,0
29,202.5834,600,1,1,504,0
30,830.7033,600,1,1,504,0
31,265.9167,600,1,1,504,0
32,221.9217,600,1,1,504,0
33,13.4864,600,0,0,504,8
34,234.5790,600,1,1,504,0
35,425.8544,600,1,1,504,0
36,237.9071,600,1,1,504,0
37,303.0544,600,1,1,504,0
38,795.7208,600,1,1,504,0
39,930.4758,600,1,1,504,0
40,153.1252,600,1,1,504,0
41,168.6295,600,1,1,504,0
42,384.9450,600,1,1,504,0
43,436.3083,600,1,1,504,0
44,13.5877,600,0,1,504,16
45,342.1741,600,1,1,504,0
46,168.6584,600,1,1,504,0
47,867.6386,600,1,1,504,0
48,829.7665,600,1,1,504,0
49,396.4752,600,1,1,504,0
50,26.2677,600,1,1,504,0
51,367.0921,600,1,1,504,0
52,542.0798,600,1,1,504,0
53,23.7021,600,1,1,504,0
54,524.0439,600,1,1,504,0
55,321.7108,600,1,1,504,0
56,295.1655,600,1,1,504,0
57,603.7868,600,1,1,504,0
58,344.4806,600,1,1,504,0
59,350.0904,600,1,1,504,0
60,655.3419,600,1,1,504,0
61,55.5066,600,1,1,504,0
62,743.3327,600,1,1,504,0
63,77.5053,600,1,1,504,0
64,236.0486,600,1,1,504,0
65,473.5226,600,1,1,504,0
66,175.8315,600,1,1,504,0
67,408.9900,600,1,1,504,0
68,723.6988,600,1,1,504,0
69,504.3570,600,1,1,504,0
70,761.2470,600,1,1,504,0
71,583.8685,600,1,1,504,0
72,662.1272,600,1,1,504,0
73,522.4339,600,1,1,504,0
74,796.7834,600,1,1,504,0
75,690.4273,600,1,1,504,0
76,322.2869,600,1,1,504,0
77,537.0084,600,1,1,504,0
78,785.9473,600,1,1,504,0
79,295.7225,600,1,1,504,0
80,773.4993,600,1,1,504,0
81,509.6506,600,1,1,504,0
82,550.7044,600,1,1,504,0
83,322.7286,600,1,1,504,0
84,752.9554,600,1,1,504,0
85,220.5980,600,1,1,504,0
86,486.7534,600,1,1,504,0
87,129.6781,600,1,1,504,0
88,214.3635,600,1,1,504,0
89,704.5222,600,1,1,504,0
90,908.0305,600,1,1,504,0
91,449.4165,600,1,1,504,0
92,255.3771,600,1,1,504,0
93,317.4544,600,1,1,504,0
94,279.7069,600,1,1,504,0
95,816.0202,600,1,1,504,0
96,622.0280,600,1,1,504,0
97,493.6782,600,1,1,504,0
98,837.8715,600,1,1,504,0
99,427.3311,600,1,1,504,0
100,358.7038,600,1,1,450,0
101,352.8249,600,1,1,450,0
102,851.1288,600,1,1,450,0
103,482.3399,600,1,1,450,0
104,617.0197,600,1,1,450,0
105,761.6981,600,1,1,450,0
106,818.5838,600,1,1,450,0
107,270.5896,600,1,1,450,0
108,287.4195,600,1,1,450,0
109,184.7654,600,1,1,450,0
110,15.2020,600,0,1,450,2
111,295.4509,600,1,1,450,0
112,585.6574,600,1,1,450,0
113,189.4483,600,1,1,450,0
114,13.6733,600,0,0,450,7
115,478.3317,600,1,1,450,0
116,142.3635,600,1,1,450,0
117,728.1680,600,1,1,450,0
118,902.4380,600,1,1,450,0
119,347.6267,600,1,1,450,0
120,160.5863,600,1,1,450,0
121,675.8680,600,1,1,450,0
122,740.9481,600,1,1,450,0
123,549.9794,600,1,1,450,0
124,279.7990,600,1,1,450,0
125,310.1272,600,1,1,450,0
126,710.2361,600,1,1,450,0
127,12.7291,600,0,0,450,16
128,591.0592,600,1,1,450,0
129,277.6350,600,1,1,450,0
130,364.7522,600,1,1,450,0
131,136.0278,600,1,1,450,0
132,277.2067,600,1,1,450,0
133,14.4937,600,0,0,450,0
134,754.5533,600,1,1,450,0
135,374.5601,600,1,1,450,0
136,736.8422,600,1,1,450,0
137,282.2406,600,1,1,450,0
138,122.4169,600,1,1,450,0
139,13.4651,600,0,1,450,2
140,216.0944,600,1,1,450,0
141,554.3794,600,1,1,450,0
142,659.6651,600,1,1,450,0
143,627.5510,600,1,1,450,0
144,266.9895,600,1,1,450,0
145,144.5130,600,1,1,450,0
146,320.5190,600,1,1,450,0
147,712.1997,600,1,1,450,0
148,425.1974,600,1,1,450,0
149,369.9939,600,1,1,450,0
150,879.5002,600,1,1,450,0
151,857.6108,600,1,1,450,0
152,301.3786,600,1,1,450,0
153,286.1464,600,1,1,450,0
154,169.8790,600,1,1,450,0
155,233.0733,600,1,1,450,0
156,70.2225,600,1,1,450,0
157,592.9523,600,1,1,450,0
158,530.2354,600,1,1,450,0
159,740.9164,600,1,1,450,0
160,767.7246,600,1,1,450,0
161,299.6886,600,1,1,450,0
162,769.3503,600,1,1,450,0
163,858.9549,600,1,1,450,0
164,643.4618,600,1,1,450,0
165,520.2366,600,1,1,450,0
166,335.0223,600,1,1,450,0
167,146.3847,600,1,1,450,0
168,847.3945,600,1,1,450,0
169,551.2526,600,1,1,450,0
170,311.2031,600,1,1,450,0
171,754.6946,600,1,1,450,0
172,863.2880,600,1,1,450,0
173,364.4904,600,1,1,450,0
174,291.7963,600,1,1,450,0
175,679.0684,600,1,1,450,0
176,671.4993,600,1,1,450,0
177,178.9624,600,1,1,450,0
178,889.6300,600,1,1,450,0
179,638.9126,600,1,1,450,0
180,780.0852,600,1,1,450,0
181,320.5483,600,1,1,450,0
182,149.2862,600,1,1,450,0
183,716.5674,600,1,1,450,0
184,925.6877,600,1,1,450,0
185,813.9316,600,1,1,450,0
186,611.0461,600,1,1,450,0
187,835.8609,600,1,1,450,0
188,322.9815,600,1,1,450,0
189,483.6432,600,1,1,450,0
190,604.0976,600,1,1,450,0
191,861.4250,600,1,1,450,0
192,882.0050,600,1,1,450,0
193,624.6949,600,1,1,450,0
194,487.1211,600,1,1,450,0
195,674.8388,600,1,1,450,0
196,175.2148,600,1,1,450,0
197,197.6809,600,1,1,450,0
198,840.1719,600,1,1,450,0
199,567.8572,600,1,1,450,0
