episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,9.8714,600,0,1,433,35
1,7.1022,600,0,1,433,60
2,70.2346,600,1,1,433,0
3,766.1487,600,1,1,433,0
4,267.0794,600,1,1,433,0
5,8.9491,600,0,1,433,54
6,297.4022,600,1,1,433,0
7,488.2276,600,1,1,433,0
8,293.5891,600,1,1,433,0
9,881.4703,600,1,1,433,0
10,163.8510,600,1,1,433,0
11,403.2953,600,1,1,433,0
12,429.4373,600,1,1,433,0
13,847.5357,600,1,1,433,0
14,291.3301,600,1,1,433,0
15,773.8676,600,1,1,433,0
16,519.7267,600,1,1,433,0
17,157.1662,600,1,1,433,0
18,335.8129,600,1,1,433,0
19,626.6522,600,1,1,433,0
20,139.4747,600,1,1,433,0
21,136.7856,600,1,1,433,0
22,651.9696,600,1,1,433,0
23,738.0568,600,1,1,433,0
24,13.4521,600,0,1,433,19
25,742.1492,600,1,1,433,0
26,472.7392,600,1,1,433,0
27,297.3235,600,1,1,433,0
28,763.2114,600,1,1,433,0
29,12.4770,600,0,0,433,10
30,158.2564,600,1,1,433,0
31,114.4504,600,1,1,433,0
32,554.2200,600,1,1,433,0
33,418.2160,600,1,1,433,0
34,627.5061,600,1,1,433,0
35,170.0427,600,1,1,433,0
36,786.8132,600,1,1,433,0
37,286.6623,600,1,1,433,0
38,12.7738,600,0,1,433,7
39,11.7007,600,0,0,433,2
40,13.9893,600,0,0,433,3
41,841.2062,600,1,1,433,0
42,750.0384,600,1,1,433,0
43,301.7832,600,1,1,433,0
44,108.4468,600,1,1,433,0
45,313.5083,600,1,1,433,0
46,640.5831,600,1,1,433,0
47,797.1905,600,1,1,433,0
48,334.6479,600,1,1,433,0
49,145.2242,600,1,1,433,0
50,277.3771,600,1,1,433,0
51,242.4850,600,1,1,433,0
52,209.3493,600,1,1,433,0
53,111.2128,600,1,1,433,0
54,616.4504,600,1,1,433,0
55,471.5130,600,1,1,433,0
56,662.4409,600,1,1,433,0
57,372.3379,600,1,1,433,0
58,825.9899,600,1,1,433,0
59,817.0312,600,1,1,433,0
60,244.7313,600,1,1,433,0
61,158.9964,600,1,1,433,0
62,314.1536,600,1,1,433,0
63,723.1632,600,1,1,433,0
64,423.7812,600,1,1,433,0
65,814.0857,600,1,1,433,0
66,159.5090,600,1,1,433,0
67,331.8754,600,1,1,433,0
68,442.2658,600,1,1,433,0
69,132.2157,600,1,1,433,0
70,652.1254,600,1,1,433,0
71,732.7336,600,1,1,433,0
72,365.7741,600,1,1,433,0
73,776.6209,600,1,1,433,0
74,702.6313,600,1,1,433,0
75,313.3834,600,1,1,433,0
76,69.5918,600,1,1,433,0
77,216.5122,600,1,1,433,0
78,355.6161,600,1,1,433,0
79,216.6436,600,1,1,433,0
80,415.5847,600,1,1,433,0
81,260.4250,600,1,1,433,0
82,370.0245,600,1,1,433,0
83,732.3576,600,1,1,433,0
84,390.9759,600,1,1,433,0
85,343.1208,600,1,1,433,0
86,257.8464,600,1,1,433,0
87,314.1866,600,1,1,433,0
88,320.9436,600,1,1,433,0
89,593.4846,600,1,1,433,0
90,333.0363,600,1,1,433,0
91,751.0182,600,1,1,433,0
92,811.3862,600,1,1,433,0
93,224.5135,600,1,1,433,0
94,522.3571,600,1,1,433,0
95,869.2517,600,1,1,433,0
96,657.7729,600,1,1,433,0
97,334.4700,600,1,1,433,0
98,96.3649,600,1,1,433,0
99,238.6345,600,1,1,433,0
100,713.1319,600,1,1,473,0
101,15.2061,600,0,1,473,3
102,466.0641,600,1,1,473,0
103,13.6306,600,0,0,473,1
104,183.8719,600,1,1,473,0
105,852.4999,600,1,1,473,0
106,152.9234,600,1,1,473,0
107,312.0964,600,1,1,473,0
108,704.3894,600,1,1,473,0
109,245.8751,600,1,1,473,0
110,661.0029,600,1,1,473,0
111,683.9378,600,1,1,473,0
112,649.1781,600,1,1,473,0
113,254.9058,600,1,1,473,0
114,191.2473,600,1,1,473,0
115,320.2946,600,1,1,473,0
116,558.8464,600,1,1,473,0
117,716.0712,600,1,1,473,0
118,641.5348,600,1,1,473,0
119,273.3323,600,1,1,473,0
120,819.7935,600,1,1,473,0
121,341.6745,600,1,1,473,0
122,729.3458,600,1,1,473,0
123,462.8495,600,1,1,473,0
124,153.4766,600,1,1,473,0
125,382.6086,600,1,1,473,0
126,925.1445,600,1,1,473,0
127,612.6260,600,1,1,473,0
128,31.5602,600,1,1,473,0
129,864.6513,600,1,1,473,0
130,544.2471,600,1,1,473,0
131,226.4968,600,1,1,473,0
132,642.6870,600,1,1,473,0
133,210.7363,600,1,1,473,0
134,41.9603,600,1,1,473,0
135,335.7532,600,1,1,473,0
136,332.1670,600,1,1,473,0
137,645.8763,600,1,1,473,0
138,128.5926,600,1,1,473,0
139,446.9229,600,1,1,473,0
140,257.0267,600,1,1,473,0
141,441.7848,600,1,1,473,0
142,781.4564,600,1,1,473,0
143,912.4565,600,1,1,473,0
144,420.2112,600,1,1,473,0
145,222.5266,600,1,1,473,0
146,218.6818,600,1,1,473,0
147,324.0275,600,1,1,473,0
148,330.6285,600,1,1,473,0
149,286.0634,600,1,1,473,0
150,604.7213,600,1,1,473,0
151,936.1274,600,1,1,473,0
152,793.6410,600,1,1,473,0
153,771.2286,600,1,1,473,0
154,146.7707,600,1,1,473,0
155,220.1264,600,1,1,473,0
156,432.9944,600,1,1,473,0
157,849.4745,600,1,1,473,0
158,419.1211,600,1,1,473,0
159,146.6784,600,1,1,473,0
160,895.9972,600,1,1,473,0
161,257.6374,600,1,1,473,0
162,645.4800,600,1,1,473,0
163,476.5371,600,1,1,473,0
164,759.8225,600,1,1,473,0
165,777.6345,600,1,1,473,0
166,702.4817,600,1,1,473,0
167,518.5623,600,1,1,473,0
168,193.3161,600,1,1,473,0
169,130.3213,600,1,1,473,0
170,729.9511,600,1,1,473,0
171,908.0602,600,1,1,473,0
172,304.5423,600,1,1,473,0
173,271.0668,600,1,1,473,0
174,182.3346,600,1,1,473,0
175,201.5738,600,1,1,473,0
176,808.4919,600,1,1,473,0
177,209.9849,600,1,1,473,0
178,179.8695,600,1,1,473,0
179,227.7221,600,1,1,473,0
180,879.7448,600,1,1,473,0
181,271.2076,600,1,1,473,0
182,388.1760,600,1,1,473,0
183,167.7648,600,1,1,473,0
184,257.9617,600,1,1,473,0
185,736.7791,600,1,1,473,0
186,374.4873,600,1,1,473,0
187,61.6421,600,1,1,473,0
188,243.0480,600,1,1,473,0
189,841.8403,600,1,1,473,0
190,372.7442,600,1,1,473,0
191,234.7245,600,1,1,473,0
192,802.1079,600,1,1,473,0
193,517.6732,600,1,1,473,0
194,743.4951,600,1,1,473,0
195,271.2789,600,1,1,473,0
196,715.6160,600,1,1,473,0
197,628.5901,600,1,1,473,0
198,132.2265,600,1,1,473,0
199,541.4447,600,1,1,473,0
