episode,total_reward,episode_length,success,phase_switched,dry_mass,fuel_mass_init
0,7.8559,600,0,1,497,79
1,5.8598,600,0,1,497,67
2,5.0061,600,0,1,497,106
3,424.4683,600,1,1,497,0
4,425.3403,600,1,1,497,0
5,9.5741,600,0,1,497,28
6,429.5664,600,1,1,497,0
7,620.7683,600,1,1,497,0
8,12.2162,600,0,1,497,24
9,746.5373,600,1,1,497,0
10,33.1571,600,1,1,497,0
11,13.0520,600,0,0,497,10
12,41.8580,600,1,1,497,0
13,569.7067,600,1,1,497,0
14,11.0866,600,0,1,497,25
15,138.9230,600,1,1,497,0
16,681.9587,600,1,1,497,0
17,666.9479,600,1,1,497,0
18,14.0042,600,0,1,497,13
19,14.3939,600,0,1,497,11
20,239.6959,600,1,1,497,0
21,436.7978,600,1,1,497,0
22,10.2209,600,0,1,497,12
23,11.5979,600,0,0,497,6
24,10.6619,600,0,1,497,34
25,77.6249,600,1,1,497,0
26,11.8869,600,0,0,497,18
27,90.6068,600,1,1,497,0
28,776.9441,600,1,1,497,0
29,54.2598,600,1,1,497,0
30,10.7703,600,0,0,497,10
31,374.5574,600,1,1,497,0
32,24.2350,600,1,1,497,0
33,915.7196,600,1,1,497,0
34,9.8873,600,0,0,497,31
35,739.4847,600,1,1,497,0
36,11.3370,600,0,1,497,31
37,52.9136,600,1,1,497,0
38,285.1567,600,1,1,497,0
39,102.8717,600,1,1,497,0
40,24.6226,600,1,1,497,0
41,24.0845,600,1,1,497,0
42,847.4062,600,1,1,497,0
43,848.2480,600,1,1,497,0
44,11.3044,600,0,0,497,24
45,702.8780,600,1,1,497,0
46,858.8309,600,1,1,497,0
47,739.9791,600,1,1,497,0
48,12.5076,600,0,0,497,12
49,397.6782,600,1,1,497,0
50,539.5739,600,1,1,497,0
51,10.6011,600,0,1,497,21
52,168.1114,600,1,1,497,0
53,644.9313,600,1,1,497,0
54,156.9304,600,1,1,497,0
55,528.0175,600,1,1,497,0
56,804.1521,600,1,1,497,0
57,603.2468,600,1,1,497,0
58,11.5956,600,0,1,497,21
59,786.8732,600,1,1,497,0
60,9.3846,600,0,1,497,57
61,324.0849,600,1,1,497,0
62,235.8670,600,1,1,497,0
63,11.2935,600,0,0,497,0
64,50.4771,600,1,1,497,0
65,9.5616,600,0,1,497,59
66,615.9428,600,1,1,497,0
67,13.7613,600,0,1,497,13
68,125.0153,600,1,1,497,0
69,188.6567,600,1,1,497,0
70,272.9111,600,1,1,497,0
71,12.8250,600,0,1,497,20
72,14.5114,600,0,0,497,0
73,916.6045,600,1,1,497,0
74,12.3533,600,0,0,497,14
75,594.5938,600,1,1,497,0
76,107.7272,600,1,1,497,0
77,751.5333,600,1,1,497,0
78,777.1978,600,1,1,497,0
79,687.0130,600,1,1,497,0
80,73.6981,600,1,1,497,0
81,89.1027,600,1,1,497,0
82,426.2495,600,1,1,497,0
83,909.5328,600,1,1,497,0
84,10.6906,600,0,1,497,31
85,11.6602,600,0,1,497,4
86,222.4687,600,1,1,497,0
87,572.6066,600,1,1,497,0
88,157.1749,600,1,1,497,0
89,397.7689,600,1,1,497,0
90,600.7760,600,1,1,497,0
91,11.2866,600,0,0,497,10
92,11.5919,600,0,0,497,8
93,874.9276,600,1,1,497,0
94,10.1235,600,0,1,497,23
95,11.8438,600,0,1,497,34
96,11.2096,600,0,1,497,34
97,46.0293,600,1,1,497,0
98,11.3581,600,0,0,497,21
99,10.4937,600,0,1,497,11
100,12.2472,600,0,0,527,19
101,10.7621,600,0,0,527,17
102,11.3053,600,0,0,527,23
103,11.5946,600,0,1,527,7
104,660.3700,600,1,1,527,0
105,11.4534,600,0,1,527,14
106,11.7246,600,0,1,527,9
107,541.9804,600,1,1,527,0
108,12.3935,600,0,0,527,5
109,12.3270,600,0,1,527,9
110,775.6554,600,1,1,527,0
111,11.6253,600,0,0,527,27
112,247.0361,600,1,1,527,0
113,385.4990,600,1,1,527,0
114,231.5590,600,1,1,527,0
115,156.7114,600,1,1,527,0
116,11.8588,600,0,0,527,28
117,12.8478,600,0,0,527,12
118,89.4366,600,1,1,527,0
119,13.9777,600,0,0,527,8
120,10.9947,600,0,0,527,9
121,713.4067,600,1,1,527,0
122,849.0409,600,1,1,527,0
123,355.0663,600,1,1,527,0
124,578.0241,600,1,1,527,0
125,10.5064,600,0,1,527,23
126,761.7290,600,1,1,527,0
127,148.6441,600,1,1,527,0
128,861.0460,600,1,1,527,0
129,114.8366,600,1,1,527,0
130,698.2385,600,1,1,527,0
131,13.5745,600,0,0,527,1
132,11.5216,600,0,0,527,6
133,171.1951,600,1,1,527,0
134,799.5451,600,1,1,527,0
135,829.2980,600,1,1,527,0
136,198.5351,600,1,1,527,0
137,169.9564,600,1,1,527,0
138,61.5274,600,1,1,527,0
139,848.9908,600,1,1,527,0
140,301.5149,600,1,1,527,0
141,656.1711,600,1,1,527,0
142,12.5260,600,0,1,527,30
143,577.2554,600,1,1,527,0
144,11.9208,600,0,1,527,25
145,258.6767,600,1,1,527,0
146,202.1481,600,1,1,527,0
147,9.7523,600,0,1,527,15
148,733.0390,600,1,1,527,0
149,10.1339,600,0,1,527,22
150,830.7966,600,1,1,527,0
151,141.9358,600,1,1,527,0
152,94.5161,600,1,1,527,0
153,891.3353,600,1,1,527,0
154,13.0057,600,0,0,527,10
155,405.4283,600,1,1,527,0
156,267.8804,600,1,1,527,0
157,94.7176,600,1,1,527,0
158,723.3274,600,1,1,527,0
159,8.3189,600,0,0,527,51
160,658.6683,600,1,1,527,0
161,205.9299,600,1,1,527,0
162,31.2498,600,1,1,527,0
163,9.7560,600,0,0,527,16
164,10.5597,600,0,0,527,14
165,12.2777,600,0,0,527,1
