episode,total_reward,steps,success,switched,self_fuel_end,dry_mass,fuel_mass
0,526.0078,400,1,1,0.3118,592,0
1,519.5873,400,1,1,0.0695,592,0
2,477.0296,400,1,1,0.0318,592,0
3,557.0790,400,1,1,0.0463,592,0
4,459.8544,400,1,1,0.0384,592,0
5,572.1677,400,1,1,0.0365,592,0
6,443.9390,400,1,1,0.0472,592,0
7,3.4909,76,0,0,0.8186,592,78
8,381.8373,400,1,1,0.0357,592,0
9,528.2930,400,1,1,0.0436,592,0
10,7.6922,120,0,0,0.7111,592,22
11,551.9745,400,1,1,0.0381,592,0
12,583.7038,400,1,1,0.0416,592,0
13,470.5663,400,1,1,0.0361,592,0
14,7.1007,150,0,0,0.6373,592,20
15,509.2133,400,1,1,0.0339,592,0
16,588.7756,400,1,1,0.0487,592,0
17,418.0833,400,1,1,0.0359,592,0
18,537.8205,400,1,1,0.0337,592,0
19,560.0269,400,1,1,0.0324,592,0
20,415.0522,400,1,1,0.0348,592,0
21,600.8708,400,1,1,0.0354,592,0
22,424.5595,400,1,1,0.0326,592,0
23,518.1291,400,1,1,0.0344,592,0
24,576.3555,400,1,1,0.0364,592,0
25,293.2647,400,1,1,0.0321,592,0
26,586.8450,400,1,1,0.0369,592,0
27,454.1810,400,1,1,0.0309,592,0
28,324.4501,400,1,1,0.0339,592,0
29,600.2685,400,1,1,0.0365,592,0
30,446.7566,400,1,1,0.0315,592,0
31,439.0811,400,1,1,0.0348,592,0
32,476.7752,400,1,1,0.0327,592,0
33,523.6822,400,1,1,0.0355,592,0
34,479.5235,400,1,1,0.0327,592,0
35,482.6624,400,1,1,0.0337,592,0
36,510.8477,400,1,1,0.0326,592,0
37,577.3539,400,1,1,0.0383,592,0
38,562.6312,400,1,1,0.0314,592,0
39,455.3206,400,1,1,0.0337,592,0
40,541.6284,400,1,1,0.0361,592,0
41,6.5955,400,0,1,0.0382,592,37
42,598.4418,400,1,1,0.0322,592,0
43,426.2159,400,1,1,0.0385,592,0
44,586.4226,400,1,1,0.0342,592,0
45,480.3130,400,1,1,0.0334,592,0
46,490.3836,400,1,1,0.0363,592,0
47,473.2756,400,1,1,0.0388,592,0
48,430.7427,400,1,1,0.0310,592,0
49,546.3480,400,1,1,0.0334,592,0
50,566.5673,400,1,1,0.0355,592,0
51,490.0344,400,1,1,0.0325,592,0
52,384.1239,400,1,1,0.0343,592,0
53,535.0277,400,1,1,0.0319,592,0
54,459.7740,400,1,1,0.0322,592,0
55,358.7742,400,1,1,0.0321,592,0
56,569.9576,400,1,1,0.0369,592,0
57,461.0740,400,1,1,0.0345,592,0
58,8.5693,400,0,0,0.0328,592,21
59,566.5612,400,1,1,0.0357,592,0
60,546.9736,400,1,1,0.0368,592,0
61,523.9205,400,1,1,0.0368,592,0
62,591.8719,400,1,1,0.0354,592,0
63,486.2615,400,1,1,0.0317,592,0
64,601.0433,400,1,1,0.0372,592,0
65,6.2924,157,0,0,0.6210,592,8
66,5.8456,94,0,0,0.7729,592,43
67,492.2971,400,1,1,0.0326,592,0
68,354.6817,400,1,1,0.0364,592,0
69,403.2994,400,1,1,0.0343,592,0
70,507.9027,400,1,1,0.0419,592,0
71,533.2346,400,1,1,0.0361,592,0
72,449.2449,400,1,1,0.0342,592,0
73,570.0662,400,1,1,0.0398,592,0
74,527.1864,400,1,1,0.0353,592,0
75,510.0401,400,1,1,0.0464,592,0
