episode,total_reward,steps,success,switched,self_fuel_end,dry_mass,fuel_mass
120,576.0142,450,1,1,-0.0901,576,0
121,606.9690,450,1,1,-0.0837,576,0
122,573.3852,450,1,1,-0.0810,576,0
123,562.4667,450,1,1,-0.0841,576,0
124,655.1680,450,1,1,-0.0849,576,0
125,628.3553,450,1,1,-0.0858,576,0
126,583.2968,450,1,1,-0.0882,576,0
127,661.7025,450,1,1,-0.0822,576,0
128,673.5931,450,1,1,-0.0888,576,0
129,5.6301,126,0,0,0.6955,576,5
130,524.7832,450,1,1,-0.0869,576,0
131,646.3277,450,1,1,-0.0864,576,0
132,694.6168,450,1,1,-0.0887,576,0
133,589.1211,450,1,1,-0.0848,576,0
134,558.0817,450,1,1,-0.0865,576,0
135,626.3898,450,1,1,-0.0878,576,0
136,695.5858,450,1,1,-0.0866,576,0
137,404.0450,450,1,1,-0.0729,576,0
138,557.7720,450,1,1,-0.0869,576,0
139,6.4864,130,0,0,0.6857,576,5
140,622.4836,450,1,1,-0.0889,576,0
141,693.8347,450,1,1,-0.0860,576,0
142,673.4605,450,1,1,-0.0828,576,0
143,694.4054,450,1,1,-0.0905,576,0
144,594.8112,450,1,1,-0.0867,576,0
145,688.5120,450,1,1,-0.0892,576,0
146,554.9510,450,1,1,-0.0869,576,0
147,471.5443,450,1,1,-0.0843,576,0
148,553.1271,450,1,1,-0.0912,576,0
149,624.2994,450,1,1,-0.0896,576,0
150,613.9191,450,1,1,-0.0844,576,0
151,660.9325,450,1,1,-0.0889,576,0
152,534.9785,450,1,1,-0.0892,576,0
153,598.3094,450,1,1,-0.0823,576,0
154,434.2860,450,1,1,-0.0863,576,0
155,682.9371,450,1,1,-0.0877,576,0
156,6.2234,100,0,0,0.7576,576,14
157,620.2173,450,1,1,-0.0876,576,0
158,552.0430,450,1,1,-0.0862,576,0
159,580.9419,450,1,1,-0.0863,576,0
160,695.6427,450,1,1,-0.0883,576,0
161,534.2672,450,1,1,-0.0785,576,0
162,545.4035,450,1,1,-0.0857,576,0
163,306.8110,450,1,1,-0.0755,576,0
164,629.3393,450,1,1,-0.0878,576,0
165,668.4345,450,1,1,-0.0900,576,0
166,629.7171,450,1,1,-0.0777,576,0
167,567.9861,450,1,1,-0.0877,576,0
168,620.6400,450,1,1,-0.0879,576,0
169,540.4943,450,1,1,-0.0906,576,0
170,663.9276,450,1,1,-0.0899,576,0
171,657.5205,450,1,1,-0.0867,576,0
172,574.0432,450,1,1,-0.0888,576,0
173,210.9187,450,1,1,-0.0805,576,0
174,621.1288,450,1,1,-0.0870,576,0
175,610.4974,450,1,1,-0.0867,576,0
176,561.6402,450,1,1,-0.0712,576,0
177,664.5475,450,1,1,-0.0894,576,0
178,669.7655,450,1,1,-0.0887,576,0
179,611.1972,450,1,1,-0.0877,576,0
180,634.9860,450,1,1,-0.0812,576,0
181,518.4702,450,1,1,-0.0796,576,0
182,513.8999,450,1,1,-0.0894,576,0
183,646.0999,450,1,1,-0.0854,576,0
184,587.5674,450,1,1,-0.0892,576,0
185,597.7166,450,1,1,-0.0852,576,0
186,558.4052,450,1,1,-0.0867,576,0
187,633.8554,450,1,1,-0.0880,576,0
188,591.0917,450,1,1,-0.0899,576,0
189,7.4873,126,0,0,0.6947,576,21
190,388.1738,450,1,1,-0.0773,576,0
191,623.5452,450,1,1,-0.0876,576,0
192,614.5861,450,1,1,-0.0885,576,0
193,571.7939,450,1,1,-0.0836,576,0
194,646.7393,450,1,1,-0.0889,576,0
195,595.9478,450,1,1,-0.0909,576,0
196,558.6850,450,1,1,-0.0834,576,0
197,694.9428,450,1,1,-0.0907,576,0
198,650.8846,450,1,1,-0.0882,576,0
199,605.5058,450,1,1,-0.0902,576,0
