episode,total_reward,steps,success,switched,self_fuel_end,dry_mass,fuel_mass
120,10.1070,173,0,0,0.5808,460,8
121,531.3818,600,1,1,-0.4488,460,0
122,852.2425,600,1,1,-0.4499,460,0
123,7.8781,149,0,0,0.6389,460,26
124,865.8503,600,1,1,-0.4522,460,0
125,996.8758,600,1,1,-0.4483,460,0
126,973.6160,600,1,1,-0.4528,460,0
127,11.8088,417,0,1,-0.0010,460,2
128,884.3053,600,1,1,-0.4514,460,0
129,485.0342,600,1,1,-0.4514,460,0
130,10.2750,146,0,0,0.6482,460,13
131,989.2144,600,1,1,-0.4501,460,0
132,872.3102,600,1,1,-0.4539,460,0
133,902.2610,600,1,1,-0.4504,460,0
134,957.5679,600,1,1,-0.4538,460,0
135,930.4187,600,1,1,-0.4486,460,0
136,727.0411,600,1,1,-0.4465,460,0
137,952.5835,600,1,1,-0.4493,460,0
138,978.5917,600,1,1,-0.4442,460,0
139,905.6052,600,1,1,-0.4525,460,0
140,793.1783,600,1,1,-0.4509,460,0
141,667.9159,600,1,1,-0.4469,460,0
142,875.6575,600,1,1,-0.4527,460,0
143,883.7337,600,1,1,-0.4542,460,0
144,930.2931,600,1,1,-0.4518,460,0
145,911.7989,600,1,1,-0.4475,460,0
146,979.8787,600,1,1,-0.4505,460,0
147,882.5995,600,1,1,-0.4486,460,0
148,818.6027,600,1,1,-0.4544,460,0
149,975.9389,600,1,1,-0.4519,460,0
150,883.2902,600,1,1,-0.4511,460,0
151,984.1970,600,1,1,-0.4549,460,0
152,821.2174,600,1,1,-0.4503,460,0
153,947.0470,600,1,1,-0.4480,460,0
154,886.2939,600,1,1,-0.4446,460,0
155,880.7525,600,1,1,-0.4509,460,0
156,908.6962,600,1,1,-0.4496,460,0
157,821.1733,600,1,1,-0.4549,460,0
158,948.2677,600,1,1,-0.4536,460,0
159,995.9273,600,1,1,-0.4457,460,0
160,934.4130,600,1,1,-0.4495,460,0
161,937.7686,600,1,1,-0.4532,460,0
162,938.4024,600,1,1,-0.4499,460,0
163,896.6893,600,1,1,-0.4531,460,0
164,726.8512,600,1,1,-0.4549,460,0
165,948.2704,600,1,1,-0.4505,460,0
166,8.4884,143,0,0,0.6533,460,10
167,972.3117,600,1,1,-0.4542,460,0
168,946.1515,600,1,1,-0.4467,460,0
169,862.6852,600,1,1,-0.4496,460,0
170,599.9338,600,1,1,-0.4426,460,0
171,911.3538,600,1,1,-0.4513,460,0
172,859.4999,600,1,1,-0.4515,460,0
173,991.7392,600,1,1,-0.4472,460,0
174,889.6176,600,1,1,-0.4506,460,0
175,758.4363,600,1,1,-0.4365,460,0
176,11.6196,187,0,0,0.5478,460,2
177,920.3226,600,1,1,-0.4538,460,0
178,855.4146,600,1,1,-0.4435,460,0
179,811.8401,600,1,1,-0.4532,460,0
180,958.1026,600,1,1,-0.4477,460,0
181,960.8474,600,1,1,-0.4404,460,0
182,962.5804,600,1,1,-0.4506,460,0
183,1003.7038,600,1,1,-0.4531,460,0
184,825.9304,600,1,1,-0.4516,460,0
185,951.8080,600,1,1,-0.4486,460,0
186,943.2111,600,1,1,-0.4537,460,0
187,631.0295,600,1,1,-0.4410,460,0
188,980.3528,600,1,1,-0.4503,460,0
189,951.1399,600,1,1,-0.4473,460,0
190,841.6972,600,1,1,-0.4531,460,0
191,947.6679,600,1,1,-0.4489,460,0
192,673.8542,600,1,1,-0.4521,460,0
193,950.3453,600,1,1,-0.4444,460,0
194,928.4649,600,1,1,-0.4518,460,0
195,951.8492,600,1,1,-0.4526,460,0
196,913.7389,600,1,1,-0.4514,460,0
197,881.0665,600,1,1,-0.4496,460,0
198,981.0450,600,1,1,-0.4513,460,0
199,927.2558,600,1,1,-0.4536,460,0
