episode,total_reward,steps,success,switched,self_fuel_end,dry_mass,fuel_mass
0,567.6190,400,1,1,0.2986,424,0
1,503.1258,400,1,1,0.0753,424,0
2,429.0813,400,1,1,0.0614,424,0
3,463.1460,400,1,1,0.0301,424,0
4,500.3644,400,1,1,0.0367,424,0
5,360.1925,400,1,1,0.0301,424,0
6,497.5773,400,1,1,0.0301,424,0
7,542.9301,400,1,1,0.0316,424,0
8,490.7436,400,1,1,0.0343,424,0
9,486.3847,400,1,1,0.0345,424,0
10,593.7749,400,1,1,0.0376,424,0
11,524.3994,400,1,1,0.0332,424,0
12,7.4148,121,0,0,0.7076,424,30
13,451.6822,400,1,1,0.0308,424,0
14,5.4379,116,0,0,0.7187,424,11
15,520.0296,400,1,1,0.0342,424,0
16,7.1028,109,0,0,0.7399,424,6
17,512.2257,400,1,1,0.0308,424,0
18,585.4332,400,1,1,0.0310,424,0
19,583.1043,400,1,1,0.0493,424,0
20,614.0708,400,1,1,0.0322,424,0
21,539.1591,400,1,1,0.0385,424,0
22,4.1303,71,0,0,0.8280,424,66
23,563.6065,400,1,1,0.0332,424,0
24,7.4946,166,0,0,0.5978,424,18
25,478.6148,400,1,1,0.0367,424,0
26,514.0342,400,1,1,0.0301,424,0
27,4.7724,112,0,0,0.7290,424,35
28,7.7928,159,0,0,0.6145,424,22
29,454.6346,400,1,1,0.0305,424,0
30,400.5079,400,1,1,0.0303,424,0
31,30.7191,400,1,1,0.0301,424,0
32,510.1774,400,1,1,0.0307,424,0
33,469.7527,400,1,1,0.0332,424,0
34,512.1864,400,1,1,0.0353,424,0
35,377.7082,400,1,1,0.0320,424,0
36,145.3163,400,1,1,0.0364,424,0
37,549.6055,400,1,1,0.0319,424,0
38,458.3741,400,1,1,0.0329,424,0
39,112.5731,400,1,1,0.0301,424,0
40,6.5646,105,0,0,0.7462,424,39
41,530.8864,400,1,1,0.0301,424,0
42,571.8191,400,1,1,0.0301,424,0
43,519.4276,400,1,1,0.0348,424,0
