episode,total_reward,steps,success,switched,self_fuel_end,dry_mass,fuel_mass
0,426.0529,400,1,1,0.3090,512,0
1,457.4031,400,1,1,0.0579,512,0
2,490.0879,400,1,1,0.0449,512,0
3,553.7055,400,1,1,0.0484,512,0
4,9.2092,111,0,0,0.7310,512,16
5,606.4903,400,1,1,0.0333,512,0
6,596.0943,400,1,1,0.0327,512,0
7,418.5860,400,1,1,0.0367,512,0
8,383.6357,400,1,1,0.0343,512,0
9,271.5455,400,1,1,0.0387,512,0
10,450.5116,400,1,1,0.0301,512,0
11,375.2040,400,1,1,0.0302,512,0
12,424.5079,400,1,1,0.0308,512,0
13,10.7970,143,0,0,0.6532,512,15
14,594.0585,400,1,1,0.0331,512,0
15,420.0429,400,1,1,0.0324,512,0
16,466.3650,400,1,1,0.0313,512,0
17,538.4829,400,1,1,0.0378,512,0
18,531.9515,400,1,1,0.0323,512,0
19,500.8664,400,1,1,0.0301,512,0
20,484.5466,400,1,1,0.0309,512,0
21,467.8215,400,1,1,0.0306,512,0
22,8.8694,156,0,0,0.6223,512,0
23,494.9522,400,1,1,0.0308,512,0
24,10.8114,134,0,0,0.6759,512,1
25,7.5337,120,0,0,0.7094,512,20
26,421.1049,400,1,1,0.0301,512,0
27,595.9121,400,1,1,0.0301,512,0
28,565.5314,400,1,1,0.0320,512,0
29,384.4866,400,1,1,0.0322,512,0
30,574.6704,400,1,1,0.0325,512,0
31,589.5003,400,1,1,0.0305,512,0
32,527.9808,400,1,1,0.0317,512,0
33,554.3058,400,1,1,0.0309,512,0
34,469.5990,400,1,1,0.0309,512,0
35,517.7669,400,1,1,0.0318,512,0
36,472.1253,400,1,1,0.0301,512,0
37,609.8851,400,1,1,0.0339,512,0
38,504.6626,400,1,1,0.0310,512,0
39,477.0833,400,1,1,0.0304,512,0
40,556.7215,400,1,1,0.0308,512,0
41,40.2731,400,1,1,0.0301,512,0
42,442.2830,400,1,1,0.0327,512,0
43,578.0804,400,1,1,0.0336,512,0
44,405.1601,400,1,1,0.0301,512,0
45,456.0705,400,1,1,0.0309,512,0
46,558.2051,400,1,1,0.0325,512,0
47,558.6941,400,1,1,0.0321,512,0
48,530.3595,400,1,1,0.0364,512,0
49,548.2374,400,1,1,0.0306,512,0
50,534.2218,400,1,1,0.0310,512,0
51,355.6747,400,1,1,0.0318,512,0
52,524.3503,400,1,1,0.0321,512,0
53,71.0699,400,1,1,0.0301,512,0
54,542.8555,400,1,1,0.0305,512,0
55,533.9935,400,1,1,0.0323,512,0
56,8.1348,131,0,0,0.6823,512,10
57,7.8228,98,0,0,0.7626,512,36
58,506.6255,400,1,1,0.0348,512,0
59,431.4167,400,1,1,0.0308,512,0
60,437.6879,400,1,1,0.0306,512,0
61,540.0253,400,1,1,0.0315,512,0
62,580.9493,400,1,1,0.0301,512,0
63,113.6319,400,1,1,0.0304,512,0
64,558.3117,400,1,1,0.0349,512,0
65,521.6171,400,1,1,0.0301,512,0
66,564.6401,400,1,1,0.0313,512,0
67,489.8436,400,1,1,0.0309,512,0
68,384.5334,400,1,1,0.0306,512,0
69,581.1147,400,1,1,0.0301,512,0
70,573.8092,400,1,1,0.0347,512,0
71,485.3398,400,1,1,0.0309,512,0
72,604.9881,400,1,1,0.0340,512,0
73,606.3219,400,1,1,0.0315,512,0
74,355.4218,400,1,1,0.0301,512,0
75,546.0147,400,1,1,0.0301,512,0
76,521.4035,400,1,1,0.0344,512,0
77,536.4037,400,1,1,0.0317,512,0
78,401.2472,400,1,1,0.0352,512,0
79,524.1144,400,1,1,0.0308,512,0
80,476.7966,400,1,1,0.0303,512,0
81,544.2597,400,1,1,0.0302,512,0
82,69.9697,400,1,1,0.0301,512,0
83,5.8469,76,0,0,0.8162,512,36
